SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,40.4619,40.451,40.531,57.13,2.31553603,27.45111003
2,21.479,21.421,21.532,58.47,1.25897604,27.26850404
3,15.0621,15.052,15.218,59.64,0.90760152,27.20757352
4,11.7842,11.778,11.798,60.791,0.717212218,27.17450422
5,9.56812,9.489,9.655,62.256,0.60108168,27.15695168
6,8.50655,8.501,8.514,62.967,0.536101038,27.14445704
7,7.68678,7.678,7.697,63.83,0.49129951,27.13723751
8,6.87161,6.861,7.067,64.96,0.45907232,27.13399032
9,6.44764,6.369,6.554,65.77,0.43105658,27.12957258
10,6.04795,6.043,6.055,66.46,0.4024153,27.1238853
11,6.00816,5.962,6.128,66.5315,0.407705032,27.12581703
12,5.22879,5.224,5.238,68.672,0.359703936,27.11875594
13,5.23037,5.225,5.237,68.6905,0.3597321485,27.11883015
14,5.2279,5.218,5.236,68.701,0.359718436,27.11886244
15,4.77617,4.658,4.918,70.81,0.34824358,27.12201558
16,4.41045,4.404,4.425,72.14,0.3192195,27.1156695
17,4.40997,4.405,4.421,72.34,0.31981514,27.11644914
18,4.41102,4.406,4.417,72.54,0.32040918,27.11722718
19,4.41044,4.403,4.419,72.7925,0.3216700575,27.11839606
20,4.40976,4.404,4.416,72.952,0.322156032,27.11902003
21,4.40852,4.403,4.416,73.725,0.3255696,27.1224336
22,4.41221,4.405,4.572,74.14,0.33896808,27.12865608
23,4.41098,4.404,4.421,74.2225,0.3281376725,27.12477167
24,4.41055,4.4,4.419,74.14,0.32762466,27.12435066
25,4.41116,4.399,4.472,74.3125,0.3323255,27.1266135
26,4.41152,4.401,4.565,74.7,0.3410055,27.1310155
27,4.40817,4.397,4.42,75.21,0.3324282,27.1291082
28,4.4058,4.389,4.418,75.543,0.333748974,27.13052097
29,4.38982,4.353,4.409,76.026,0.335198634,27.13238463
30,4.37213,4.335,4.402,76.55,0.3369731,27.1344811
31,4.33998,4.274,4.39,77.3545,0.339586255,27.13764626
32,4.33153,4.285,4.376,77.7765,0.340349964,27.13905396
33,4.15789,4.08,4.264,79.5845,0.339348308,27.14320431
34,4.04799,3.957,4.166,80.866,0.336887756,27.14525176
35,3.61334,3.584,3.653,85.3,0.3116009,27.1435629
36,3.60052,3.585,3.638,85.98,0.31279524,27.14544724
37,3.59533,3.584,3.67,86.68,0.3181156,27.1492956
38,3.63145,3.597,3.696,87.18,0.32221728,27.15220128
39,3.63062,3.592,3.815,87.8315,0.3350771725,27.15958717
40,3.68507,3.615,3.775,88.1585,0.3327983375,27.15914834
41,3.6032,3.584,3.706,89.586,0.332005716,27.16152972
42,3.5938,3.584,3.613,90.2735,0.3261581555,27.15996016
43,3.70175,3.618,3.81,90.498,0.34479738,27.16953738
44,3.65493,3.604,3.849,91.615,0.352626135,27.17557214
45,3.70215,3.633,3.809,92.47,0.35221823,27.17700423
46,3.9693,3.864,4.093,91.199,0.373277507,27.18499951
