SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,200.2,199.927,200.517,56.86,11.40139662,29.17761462
2,100.205,100.11,100.384,58.05,5.8272912,28.2096272
3,66.8684,66.791,66.985,59.36,3.9762296,27.8949196
4,50.1497,50.094,50.315,60.74,3.0561331,27.7416431
5,40.1556,40.095,40.214,62.12,2.49809368,27.64824968
6,33.4913,33.449,33.68,63.54,2.1400272,27.5907472
7,28.7161,28.687,28.767,64.96,1.86870432,27.54542232
8,25.1158,25.086,25.158,66.41,1.67074278,27.51347478
9,22.3628,22.329,22.557,67.81,1.52959017,27.49196817
10,20.1236,20.094,20.164,69.23,1.39595372,27.46840972
11,18.3224,18.299,18.371,70.71,1.29901341,27.45394741
12,16.7948,16.768,16.968,72.15,1.2242412,27.4437132
13,15.5081,15.475,15.534,73.66,1.14423444,27.42967044
14,14.4161,14.395,14.441,75.1,1.0845191,27.4202331
15,13.4519,13.434,13.48,76.64,1.0331072,27.4130272
16,12.6118,12.589,12.638,78.1595,0.987779761,27.40643176
17,11.8809,11.854,12.063,79.6475,0.9607877925,27.40588979
18,11.2276,11.209,11.249,81.1525,0.9128844725,27.39543047
19,10.6423,10.624,10.668,82.64,0.88160352,27.39087552
20,10.1165,10.096,10.138,84.13,0.85290994,27.38656194
21,9.63743,9.621,9.662,85.733,0.828352246,27.38390025
22,9.21008,9.194,9.236,87.24,0.80574864,27.38089264
23,8.81312,8.796,8.85,89.25,0.7898625,27.3827625
24,8.44955,8.434,8.463,91.46,0.77402598,27.38472798
25,8.10537,8.092,8.312,93.093,0.773789016,27.39143702
26,7.79891,7.786,7.812,94.646,0.739374552,27.38002255
27,7.51427,7.502,7.529,96.239,0.724583431,27.37824943
28,7.25678,7.243,7.271,97.884,0.711714564,27.37724856
29,7.0027,6.99,7.017,99.47,0.69798099,27.37519899
30,6.77421,6.757,6.788,101.049,0.685920612,27.37367261
31,6.55718,6.442,6.58,101.665,0.6689557,27.3662757
32,6.34234,6.332,6.352,101.78,0.64650656,27.35431456
33,6.16852,6.153,6.184,103.1865,0.638105316,27.35364132
34,5.98843,5.977,6.002,104.75,0.6287095,27.3526175
35,5.8183,5.805,6.006,106.2605,0.638200563,27.36192456
36,5.65154,5.645,5.66,107.807,0.61018762,27.34982762
37,5.51494,5.502,5.529,109.338,0.604529802,27.3501958
38,5.36297,5.35,5.385,111.006,0.59776731,27.35005731
39,5.22782,5.216,5.238,112.487,0.589206906,27.34825891
40,5.10417,5.091,5.115,113.9875,0.5830460625,27.34775606
41,4.96668,4.958,4.974,115.578,0.574884972,27.34608097
42,4.86058,4.851,4.87,117.014,0.56985818,27.34583818
43,4.74729,4.732,4.759,118.623,0.564526857,27.34561286
44,4.64145,4.631,4.657,119.961,0.558658377,27.34443638
45,4.54111,4.531,4.55,121.599,0.55327545,27.34397545
46,4.44717,4.44,4.456,123.0125,0.5481437,27.3431677
