SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,41.5627,41.555,41.755,57.95,2.41970225,27.49897225
2,39.27,39.266,39.28,58.23,2.2872744,27.4803944
3,26.1867,26.183,26.386,60.39,1.59345054,27.37969454
4,19.7421,19.739,19.754,60.77,1.20045058,27.29176658
5,15.7995,15.798,15.804,62.78,0.99217512,27.26519112
6,13.1719,13.17,13.18,63.11,0.8317898,27.2255098
7,11.2915,11.288,11.489,65.09,0.74781901,27.21932501
8,9.87448,9.874,9.877,65.4845,0.6467904065,27.19244841
9,8.7881,8.787,8.792,67.5855,0.594211716,27.18977972
10,7.90944,7.909,7.912,68,0.538016,27.174064
11,7.18888,7.188,7.191,69.7765,0.5017628115,27.17097681
12,6.59488,6.594,6.597,70.1885,0.4630335345,27.15957153
13,6.08912,6.088,6.092,72.0655,0.439023026,27.15879103
14,5.65519,5.655,5.657,72.54,0.41035878,27.15013678
15,5.28015,5.28,5.283,74.4495,0.3933167085,27.15029871
16,4.95143,4.951,4.954,75.1,0.3720454,27.1441614
17,4.66309,4.66,4.879,76.824,0.374824296,27.1503903
18,4.40509,4.404,4.407,77.36,0.34092552,27.13820352
19,4.17396,4.173,4.178,79.2115,0.330945647,27.13875765
20,3.966,3.965,3.976,79.808,0.317316608,27.13442061
21,3.77614,3.775,3.78,81.616,0.30850848,27.13462848
22,3.60413,3.604,3.607,82.186,0.296444902,27.1305229
23,3.45211,3.451,3.454,83.94,0.28992876,27.13104476
24,3.30839,3.308,3.31,84.67,0.2802577,27.1279977
25,3.17391,3.173,3.176,86.499,0.274720824,27.12862482
26,3.0557,3.055,3.058,87.154,0.266516932,27.12584893
27,2.94391,2.943,2.946,88.94,0.26201724,27.12650124
28,2.84607,2.845,2.853,89.714,0.255954042,27.12471604
29,2.74834,2.747,2.75,91.3655,0.251255125,27.12475513
30,2.65652,2.656,2.659,92.1385,0.2449962715,27.12268227
31,2.67116,2.669,2.675,93.1185,0.2490919875,27.12604199
32,2.68007,2.676,2.684,93.77,0.25167868,27.12821468
33,2.658,2.654,2.667,93.74,0.25000458,27.12732258
34,2.65584,2.652,2.661,94.0185,0.2501832285,27.12777723
35,2.65815,2.653,2.663,94.016,0.250364608,27.12786661
36,2.65539,2.652,2.658,94.138,0.250218804,27.1279508
37,2.93249,2.93,2.935,94.08,0.2761248,27.1411148
38,3.0138,3.012,3.016,94.001,0.283507016,27.14477102
39,2.94098,2.939,2.943,94.194,0.277212942,27.14183494
40,2.87001,2.865,3.14,94.39,0.2963846,27.1519446
41,2.79425,2.793,2.797,94.57,0.26451229,27.13585029
42,2.73964,2.738,2.743,94.6375,0.2595906625,27.13341266
43,2.66592,2.66,2.67,94.8485,0.253245495,27.1304255
44,2.63399,2.632,2.638,95.0185,0.250658803,27.1293108
45,2.64041,2.639,2.645,95.0785,0.2514826325,27.12981263
46,2.64172,2.64,2.645,95.6275,0.2529347375,27.13126474
