SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,10.9804,10.977,11.167,54.6515,0.6102933005,27.0966113
2,10.3838,10.383,10.388,54.955,0.57087254,27.09302454
3,6.92717,6.926,6.931,57.003,0.395087793,27.07626179
4,5.21742,5.217,5.22,57.4015,0.29963583,27.05951583
5,4.17681,4.176,4.179,59.211,0.247442769,27.05520877
6,3.48317,3.483,3.486,59.61,0.20780046,27.04744446
7,2.98606,2.986,2.988,61.372,0.183379536,27.04593154
8,2.61562,2.615,2.618,61.9005,0.162055509,27.04162751
9,2.32423,2.324,2.328,63.6415,0.148157412,27.04106941
10,2.09509,2.095,2.099,64.16,0.13467184,27.03811784
11,1.90413,1.904,1.907,65.78,0.12544246,27.03772046
12,1.74822,1.748,1.75,66.193,0.11583775,27.03533775
13,1.61503,1.615,1.618,67.81,0.10971658,27.03528858
14,1.50003,1.5,1.502,68.52,0.10291704,27.03382504
15,1.40124,1.401,1.404,69.912,0.098156448,27.03357245
16,1.31577,1.315,1.318,70.7895,0.093300561,27.03267256
17,1.23908,1.239,1.244,71.906,0.089451064,27.03222706
18,1.16989,1.169,1.172,72.981,0.085533732,27.03162173
19,1.1097,1.109,1.112,74.01,0.08229912,27.03114712
20,1.05515,1.055,1.058,75.1975,0.079558955,27.03089096
21,1.00525,1.005,1.008,76.322,0.076932576,27.03056458
22,0.95825,0.958,0.961,77.677,0.074647597,27.0304416
23,0.91816,0.918,0.92,78.685,0.0723902,27.0300702
24,0.88188,0.881,0.884,79.819,0.070559996,27.029896
25,0.84492,0.844,0.847,81.038,0.068639186,27.02967719
26,0.81504,0.815,0.817,82.2265,0.0671790505,27.02959705
27,0.78603,0.786,0.788,83.3615,0.065688862,27.02944086
28,0.75973,0.759,0.762,84.331,0.064260222,27.02920822
29,0.73371,0.733,0.738,85.466,0.063073908,27.02912591
30,0.71426,0.713,0.717,86.429,0.061969593,27.02898759
31,0.72385,0.721,0.869,86.36,0.07504684,27.03507284
32,0.72914,0.728,0.732,86.456,0.063285792,27.02961379
33,0.72106,0.72,0.727,86.6,0.0629582,27.0295162
34,0.7268,0.725,0.729,86.722,0.063220338,27.02968634
35,0.71784,0.716,0.719,86.933,0.062504827,27.02943083
36,0.72319,0.721,0.726,87.12,0.06324912,27.02985312
37,0.78889,0.787,0.791,86.33,0.06828703,27.03190103
38,0.80631,0.805,0.81,85.8895,0.069570495,27.0323105
39,0.78759,0.786,0.79,86.4075,0.068261925,27.03192193
40,0.76802,0.767,0.769,86.3035,0.0663673915,27.03099339
41,0.7479,0.746,0.751,87.156,0.065454156,27.03090816
42,0.73348,0.731,0.737,87.202,0.064267874,27.03036587
43,0.71599,0.715,0.718,87.4325,0.062776535,27.02974854
44,0.71934,0.718,0.721,87.5,0.0630875,27.0299215
45,0.71695,0.715,0.719,87.657,0.063025383,27.02995138
46,0.71615,0.715,0.718,88.0575,0.063225285,27.03019729
