SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,354.316,354.26,354.544,56.47,20.02109968,30.71207568
2,177.236,177.177,177.442,57.8,10.2561476,29.0938156
3,118.22,118.189,118.405,59.07,6.99418335,28.54755335
4,88.7009,88.672,88.876,60.42,5.36988792,28.28159192
5,70.9625,70.937,71.137,61.58,4.38061646,28.10831446
6,59.172,59.151,59.379,62.92,3.73612668,28.00469268
7,50.7683,50.75,50.966,64.2,3.2720172,27.9275812
8,44.4417,44.424,44.628,65.41,2.91911748,27.86622948
9,39.5124,39.498,39.53,66.53,2.6299309,27.8115509
10,35.5598,35.547,35.764,67.3675,2.40933127,27.76418727
11,32.3424,32.325,32.354,68.18,2.20589572,27.71761172
12,29.6674,29.656,29.834,69.61,2.07674474,27.70438074
13,27.4009,27.391,27.413,70.8575,1.942416648,27.68141865
14,25.459,25.45,25.47,72.12,1.8368964,27.6652764
15,23.7853,23.774,23.997,73.175,1.755980475,27.65211848
16,22.3037,22.295,22.313,74.18,1.65517834,27.62878034
17,20.9937,20.986,21.007,75.24,1.58056668,27.61424468
18,19.8416,19.832,19.854,76.27,1.51426458,27.60098058
19,18.8178,18.808,18.829,77.17,1.45303393,27.58689993
20,17.8826,17.874,17.891,78.09,1.39710819,27.57412219
21,17.0434,17.033,17.055,79.06,1.3483683,27.5638383
22,16.2812,16.273,16.292,79.97,1.30287124,27.55343924
23,15.5713,15.56,15.749,80.8975,1.274054728,27.54960073
24,14.9379,14.93,14.947,81.813,1.222858911,27.53529691
25,14.3447,14.338,14.353,82.8,1.1884284,27.5281904
26,13.8062,13.796,13.813,83.81,1.15766753,27.52226953
27,13.2887,13.284,13.296,84.555,1.12424328,27.51262728
28,12.8292,12.821,12.84,85.452,1.09720368,27.50656368
29,12.3966,12.391,12.405,86.2485,1.069912643,27.49928264
30,11.9899,11.985,11.997,87.23,1.04649831,27.49463631
31,11.6072,11.6,11.616,88.048,1.022765568,27.48842957
32,11.2533,11.247,11.26,89.072,1.00295072,27.48499072
33,10.914,10.909,10.923,89.96,0.98263308,27.48017508
34,10.5927,10.587,10.601,90.837,0.962963037,27.47531704
35,10.2985,10.293,10.307,91.56,0.94370892,27.46958692
36,10.0266,10.021,10.031,92.49,0.92776719,27.46634119
37,9.75477,9.75,9.761,93.21,0.90982281,27.46081681
38,9.5016,9.496,9.506,94.09,0.89441954,27.45714354
39,9.27135,9.265,9.279,94.9475,0.8810178525,27.45418385
40,9.03803,9.032,9.046,95.76,0.86624496,27.45012896
41,8.83839,8.831,9.033,96.46,0.87132318,27.45580518
42,8.62103,8.615,8.63,97.232,0.83911216,27.44213216
43,8.4215,8.416,8.428,97.91,0.82518548,27.43749748
44,8.23506,8.105,8.246,98.694,0.813830724,27.43451472
45,8.06854,8.064,8.076,97.633,0.788484108,27.41698811
46,7.89552,7.892,7.902,98.4,0.7775568,27.4140648
