SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,340.563,339.742,342.578,58.23,19.94831694,31.18972894
2,162.363,159.987,168.762,64.1,10.8176442,30.0545922
3,117.785,115.299,119.661,70.76,8.46721236,29.96280636
4,81.7535,80.556,84.597,74.93,6.33885321,29.44739121
5,70.7744,69.858,71.923,83.828,6.029161244,29.72070324
6,58.8786,57.345,59.798,89.19,5.33338362,29.58267562
7,50.5836,49.891,51.234,94.02,4.81702068,29.46025668
8,41.3717,40.783,43.624,96.0565,4.190368756,29.18366476
9,39.4743,39.045,40.079,103.768,4.158917672,29.31528367
10,35.6586,35.259,36.101,108.89,3.93103789,29.27039189
11,32.3627,31.967,32.701,113.03,3.69619403,29.19194803
12,29.5225,28.646,30.001,116.371,3.491246371,29.11120037
13,27.3519,27.029,27.651,121.169,3.350444019,29.07849802
14,25.4508,25.163,25.66,123.67,3.1733722,28.9930122
15,23.6021,23.368,23.857,127.76,3.04797032,28.95054832
16,21.3353,20.912,21.551,128.387,2.766868237,28.77552224
17,20.8454,20.671,21.072,130.35,2.7467352,28.7774232
18,19.8357,19.655,20.061,135.094,2.710120734,28.78731473
19,18.7594,18.521,18.896,139.164,2.629642944,28.76042694
20,17.8178,17.7,17.932,141.709,2.541125788,28.71625379
21,16.9087,16.73,17.08,145.6105,2.48702734,28.70134734
22,16.209,16.064,16.373,148.73,2.43515629,28.68199829
23,15.4874,15.357,15.621,151.431,2.365503651,28.64693765
24,14.7952,14.613,14.925,151.3,2.2581525,28.5716025
25,14.2505,14.156,14.366,157.57,2.26365062,28.60281462
26,13.7483,13.633,13.932,160.17,2.23148844,28.59061644
27,13.2028,13.075,13.309,163.01,2.16950009,28.55728609
28,12.7557,12.68,12.832,165.1965,2.119801488,28.52952949
29,12.2935,12.212,12.409,169.075,2.098051675,28.52723768
30,11.8473,11.761,11.979,171.82,2.05823178,28.50719778
31,11.478,11.381,11.633,174.844,2.033960252,28.49884225
32,11.0223,10.811,11.383,171.52,1.95241216,28.42879416
33,10.8052,10.695,10.901,180.201,1.964371101,28.4629251
34,10.4507,10.366,10.575,183.367,1.939106025,28.45265603
35,10.1486,10.057,10.24,186.2195,1.90688768,28.43584768
36,9.92936,9.838,9.989,188.7065,1.884989229,28.42549523
37,9.63134,9.562,9.696,191.935,1.86100176,28.41498576
38,9.39917,9.308,9.476,194.8665,1.846554954,28.41065895
39,9.12607,9.053,9.379,197.9865,1.856915384,28.42548138
40,8.92625,8.87,8.977,200.0335,1.79570073,28.38275873
41,8.69251,8.618,8.764,204.178,1.789415992,28.38627199
42,8.50688,8.448,8.578,207.13,1.77676114,28.38217314
43,8.29352,8.242,8.388,209.785,1.75967658,28.37382858
44,8.09998,8.041,8.175,212.9765,1.741082888,28.36503289
45,7.88796,7.835,7.953,216.326,1.720440678,28.35460268
46,7.72138,7.643,7.801,219.399,1.711531599,28.3526856
