SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,81.0972,80.055,82.823,56.06,4.64305738,27.83319938
2,40.6517,40.224,41.436,59.21,2.45342556,27.54736956
3,27.8689,26.68,29.221,68,1.987028,27.642862
4,20.498,20.279,20.714,65.23,1.35117422,27.39833022
5,17.3749,16.993,17.729,77.69,1.37736601,27.56183201
6,13.8313,13.413,14.451,81.8835,1.183298459,27.51855246
7,12.5435,12.143,12.777,85.14,1.08783378,27.50009178
8,10.516,10.376,10.694,75.4,0.8063276,27.3144036
9,9.72901,9.486,9.879,90.7185,0.8962080615,27.44177406
10,8.65811,8.136,8.883,96.03,0.85303449,27.44441649
11,8.00317,7.85,8.146,99.0775,0.807085315,27.43236932
12,6.97953,6.776,7.24,102.62,0.7429688,27.4099288
13,6.78808,6.642,6.933,105.0725,0.7284676425,27.40954964
14,6.22356,6.117,6.328,106.689,0.675127992,27.38403999
15,5.89376,5.809,5.961,109.3695,0.6519515895,27.37774559
16,5.20352,5.133,5.29,110.05,0.5821645,27.3388245
17,5.19922,5.123,5.344,114.5085,0.611933424,27.36610942
18,4.84687,4.771,4.918,116.514,0.573015852,27.34678785
19,4.65345,4.575,4.908,120.2715,0.590292522,27.36452452
20,4.36226,4.29,4.422,126.541,0.559564302,27.3561523
21,4.19887,4.129,4.274,126.02,0.53860948,27.34200548
22,3.9925,3.945,4.041,129.6385,0.5238691785,27.33798318
23,3.83084,3.733,3.938,130.96,0.51572048,27.33457248
24,3.48494,3.41,3.577,138.438,0.495192726,27.33065073
25,3.51274,3.409,3.598,139.738,0.502777324,27.33726932
26,3.40173,3.345,3.457,140.752,0.486579664,27.32755766
27,3.28115,3.223,3.357,143.5055,0.4817479635,27.32732596
28,3.11928,3.075,3.157,145.6725,0.4598880825,27.31466608
29,3.04486,2.993,3.137,149.159,0.467911783,27.32360978
30,2.94708,2.91,2.99,150.993,0.45146907,27.31392907
31,2.84613,2.795,2.888,156.363,0.451576344,27.31872834
32,2.68841,2.656,2.735,159.39,0.43593165,27.31012165
33,2.67593,2.626,2.733,161.1065,0.4403040645,27.31458606
34,2.61346,2.577,2.672,162.8915,0.435246088,27.31233409
35,2.52301,2.479,2.58,166.3995,0.42931071,27.31063071
36,2.43117,2.399,2.464,167.27,0.41215328,27.29880928
37,2.41092,2.378,2.449,171.7705,0.4206659545,27.30801195
38,2.33519,2.302,2.379,172.9225,0.4113826275,27.30194863
39,2.28576,2.247,2.32,177.748,0.41237536,27.30565536
40,2.20832,2.181,2.239,178.6765,0.4000566835,27.29706268
41,2.16737,2.131,2.223,179.9975,0.4001344425,27.29787644
42,2.12504,2.074,2.16,180.65,0.390204,27.290844
43,2.08558,2.046,2.244,183.909,0.412691796,27.3094678
44,2.01233,1.98,2.045,186.62,0.3816379,27.2875679
45,1.97554,1.94,2.033,189.965,0.386198845,27.29268085
46,1.94635,1.921,1.975,192.309,0.379810275,27.28896028
