SM,Average(ms),Min(ms),Max(ms),Power(W),energy,energy_in_window
1,319.407,319.336,319.624,53.58,17.12545392,29.42274992
2,159.713,159.663,159.912,55.44,8.86552128,28.50956928
3,106.461,106.415,106.665,56.8,6.058572,28.151982
4,79.8468,79.817,80.033,58.46,4.67872918,27.99721118
5,63.877,63.839,64.087,59.66,3.82343042,27.87542842
6,53.2397,53.21,53.264,61.49,3.27520336,27.82505936
7,45.6406,45.583,45.82,62.38,2.8582516,27.7505316
8,39.9337,39.907,40.112,63.9,2.5631568,27.7180048
9,35.5138,35.477,35.545,65.8,2.338861,27.703791
10,31.956,31.942,32.155,67.37,2.16628235,27.68715235
11,29.0549,29.034,29.077,68.8,2.0004976,27.6629556
12,26.6328,26.618,26.649,70.25,1.87209225,27.64623825
13,24.5997,24.568,24.759,71.65,1.77398235,27.63506835
14,22.8408,22.818,22.859,72.9415,1.667369749,27.61585575
15,21.3074,21.292,21.316,73.8295,1.573749622,27.59321362
16,19.9865,19.974,20.198,75.84,1.53181632,27.60270832
17,18.8126,18.801,18.828,77.5745,1.460572686,27.59448469
18,17.7725,17.744,17.788,79.1,1.4070308,27.5887828
19,16.8399,16.821,16.851,80.65,1.35903315,27.58388715
20,15.9913,15.981,16.214,82.2515,1.333625821,27.58778182
21,15.25,15.222,15.337,84.55,1.29674335,27.59124135
22,14.5519,14.532,14.569,86.26,1.25672194,27.58654794
23,13.918,13.905,13.931,87.7205,1.222034286,27.58120829
24,13.3368,13.328,13.348,89.14,1.18984072,27.57583272
25,12.8005,12.793,13.018,90.5925,1.179333165,27.58050517
26,12.3211,12.313,12.33,92.113,1.13575329,27.56857329
27,11.8686,11.86,11.877,93.62,1.11192474,27.56558274
28,11.4438,11.436,11.452,95.04,1.08839808,27.56160608
29,11.0427,11.035,11.049,96.72,1.06865928,27.56040528
30,10.669,10.665,10.678,98.26,1.04922028,27.55803228
31,10.3485,10.328,10.6,99.91,1.059046,27.571446
32,10.0065,10.001,10.013,101.27,1.01401651,27.55341851
33,9.71113,9.702,9.724,104.0035,1.011330034,27.56402603
34,9.40724,9.403,9.412,106.125,0.9988485,27.5658965
35,9.14412,9.14,9.149,107.29,0.98159621,27.56074221
36,8.90378,8.895,8.91,108.658,0.96814278,27.55828278
37,8.66642,8.662,8.672,110.27,0.95626144,27.55734944
38,8.43126,8.426,8.439,111.83,0.94373337,27.55553937
39,8.21966,8.212,8.423,113.57,0.95660011,27.56914211
40,8.00722,7.874,8.025,114.916,0.9222009,27.5530509
41,7.8171,7.812,7.825,113.6655,0.8894325375,27.52948254
42,7.62919,7.625,7.638,115.2725,0.880451355,27.52910336
43,7.46036,7.448,7.469,116.759,0.872072971,27.52849897
44,7.27828,7.275,7.284,118.472,0.862950048,27.52788605
45,7.12894,7.124,7.135,120.0615,0.8566388025,27.5284288
46,6.96611,6.962,6.971,121.17,0.84467607,27.52401007
